,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population,clusters_pca,clusters_label
643,47633,42,3644,1332,716,2241,0,Low
644,47634,80,2835,1067,585,2183,0,Low
645,47635,198,7178,2591,1525,5200,0,Low
646,47637,35,1851,694,356,1259,0,Low
647,47638,69,5344,1991,1055,3211,0,Low
648,47639,86,7456,2775,1473,3900,2,Medium
649,47640,27,1068,395,210,1034,0,Low
650,47648,148,6324,2372,1210,3953,0,Low
651,47649,38,1616,601,313,1434,0,Low
652,47654,4,144,54,28,92,0,Low
653,47660,104,5789,2135,1148,4599,0,Low
654,47665,110,4338,1663,808,3538,0,Low
655,47666,58,1787,678,341,1669,0,Low
656,47670,455,15893,5989,2923,11309,2,Medium
657,47683,10,19,6,6,235,0,Low
658,47708,47,1152,428,220,445,0,Low
659,47710,476,25746,9567,4826,17834,2,Medium
660,47711,979,49418,18217,9823,30334,1,High
661,47712,473,36369,13394,7222,25489,1,High
662,47713,307,13245,5031,2402,9478,2,Medium
663,47714,658,45978,17144,8722,32245,1,High
664,47715,639,50063,18049,10168,24589,1,High
665,47720,319,28701,10361,5863,16734,1,High
666,47725,442,36039,13167,7359,16260,1,High
667,47802,1242,46503,17431,9024,32617,1,High
668,47803,843,34699,12580,7219,19839,1,High
669,47804,362,12937,4912,2418,10825,2,Medium
670,47805,478,18107,6858,3547,11873,2,Medium
671,47807,484,11486,4590,1866,11322,2,Medium
672,47809,109,412,169,38,2516,2,Medium
673,47832,39,973,370,200,985,0,Low
674,47833,69,1184,466,234,761,0,Low
675,47834,841,22354,8757,4160,18009,1,High
676,47836,0,0,0,0,0,0,Low
677,47837,42,1172,457,215,984,0,Low
678,47838,104,5190,2075,893,3659,0,Low
679,47840,55,1677,653,313,1711,0,Low
680,47841,145,2357,928,485,2127,0,Low
681,47842,475,12939,4928,2530,9058,2,Medium
682,47846,16,725,274,145,532,0,Low
683,47847,49,1081,415,213,1138,0,Low
684,47848,75,2122,821,393,1580,0,Low
685,47849,23,547,212,104,479,0,Low
686,47850,84,3051,1153,600,2082,0,Low
687,47853,9,312,116,66,115,0,Low
688,47854,34,949,374,184,586,0,Low
689,47855,24,641,248,117,484,0,Low
690,47857,11,583,213,113,408,0,Low
691,47858,14,630,238,113,699,0,Low
692,47859,30,756,301,134,890,0,Low
693,47860,13,231,93,46,402,0,Low
694,47861,31,605,234,125,563,0,Low
695,47862,73,1521,594,289,1302,0,Low
696,47863,8,229,85,48,294,0,Low
697,47865,2,86,32,17,55,0,Low
698,47866,12,604,223,126,587,0,Low
699,47868,137,2597,1036,486,2968,0,Low
700,47869,5,158,61,28,124,0,Low
701,47871,13,250,99,50,293,0,Low
702,47872,328,9722,3742,1888,8221,2,Medium
703,47874,113,3734,1437,732,3104,0,Low
704,47876,9,888,260,212,348,0,Low
705,47879,120,3353,1315,593,3369,0,Low
706,47880,3,122,45,24,78,0,Low
707,47881,18,368,151,61,321,0,Low
708,47882,466,11247,4346,2148,7367,2,Medium
709,47884,8,329,122,56,185,0,Low
710,47885,325,11323,4302,2217,8501,2,Medium
711,47901,144,5798,2109,1129,3467,0,Low
712,47904,433,21476,8070,3897,16284,2,Medium
713,47905,1113,68116,24752,13709,38998,1,High
714,47906,1791,136561,48843,27548,74443,1,High
715,47907,0,0,0,0,0,0,Low
716,47909,1153,63622,23788,12304,39476,1,High
717,47916,1,59,22,11,38,0,Low
718,47917,37,465,180,98,445,0,Low
719,47918,260,7236,2783,1400,5383,0,Low
720,47920,77,4424,1613,928,2123,2,Medium
721,47921,90,1375,565,247,1010,0,Low
722,47922,55,1716,657,323,1423,0,Low
723,47923,125,5328,1992,1057,3040,0,Low
724,47924,7,175,65,31,162,0,Low
725,47925,9,295,108,64,123,0,Low
